Date,Volume,Open,Close,High,Low
2020-05-06 04:00:00,36455218.0,219.37,219.0,221.04,218.11
2020-05-07 04:00:00,38624813.0,221.75,221.82,222.73,220.42
2020-05-08 04:00:00,31964416.0,223.55,224.86,225.0,222.48
2020-05-11 04:00:00,35714128.0,223.5,226.87,227.93,223.25
2020-05-12 04:00:00,41017373.0,227.48,222.12,228.095,222.09
2020-05-13 04:00:00,65521208.0,222.65,219.34,224.61,216.71
2020-05-14 04:00:00,51549345.0,218.12,221.83,221.87,215.99
2020-05-15 04:00:00,55682208.0,218.77,223.27,223.33,218.33
2020-05-18 04:00:00,42597551.0,226.28,227.43,228.68,225.47
2020-05-19 04:00:00,36237303.0,227.66,226.86,229.85,226.71
2020-05-20 04:00:00,37375400.0,229.48,231.39,231.76,229.48
2020-05-21 04:00:00,43642908.0,231.49,228.87,232.135,228.34
2020-05-22 04:00:00,28762389.0,228.46,229.66,229.87,227.5
2020-05-26 04:00:00,33055346.0,233.44,229.04,233.57,228.79
2020-05-27 04:00:00,55662815.0,228.51,230.29,230.41,223.94
2020-05-28 04:00:00,42974118.0,229.05,229.99,233.47,229.05
2020-05-29 04:00:00,50878596.0,230.43,233.36,233.6,228.76
2020-06-01 04:00:00,25997875.0,232.4,234.06,234.45,232.0
2020-06-02 04:00:00,33383415.0,234.42,235.63,235.69,232.01
2020-06-03 04:00:00,37044201.0,236.23,236.69,237.47,235.35
2020-06-04 04:00:00,38716097.0,236.32,235.03,237.79,233.68
2020-06-05 04:00:00,47365569.0,236.06,239.69,240.297,235.63
2020-06-08 04:00:00,32937305.0,239.54,241.55,241.68,237.91
2020-06-09 04:00:00,35037054.0,240.66,243.3,244.18,240.47
2020-06-10 04:00:00,58084410.0,245.0,246.22,247.815,244.51
2020-06-11 04:00:00,72907442.0,242.29,234.02,243.59,233.96
2020-06-12 04:00:00,72024787.0,239.09,235.88,240.4,231.74
2020-06-15 04:00:00,45296871.0,232.44,238.75,239.45,231.47
2020-06-16 04:00:00,48890095.0,243.78,242.85,244.39,239.1
2020-06-17 04:00:00,34749268.0,244.4,243.62,245.5,242.73
2020-06-18 04:00:00,30473248.0,243.29,244.28,244.53,242.49
2020-06-19 04:00:00,49422112.0,246.74,244.24,247.0,242.45
2020-06-22 04:00:00,24068676.0,243.77,246.74,246.87,243.38
2020-06-23 04:00:00,32767370.0,248.39,248.84,251.15,247.82
2020-06-24 04:00:00,45978376.0,247.99,243.71,249.325,242.16
2020-06-25 04:00:00,36940811.0,243.91,246.03,246.34,241.14
2020-06-26 04:00:00,52808054.0,245.75,240.22,245.96,239.68
2020-06-29 04:00:00,34209800.0,239.98,242.84,242.85,237.35
2020-06-30 04:00:00,38909219.0,242.77,247.6,248.16,242.58
2020-07-01 04:00:00,34657213.0,247.66,250.49,251.52,247.0802
2020-07-02 04:00:00,31910497.0,252.97,252.19,254.27,251.71
2020-07-06 04:00:00,34589049.0,255.46,258.39,258.928,255.43
2020-07-07 04:00:00,36490441.0,258.1,256.61,260.88,256.3
2020-07-08 04:00:00,30426273.0,258.0,259.99,260.02,256.5
2020-07-09 04:00:00,40202906.0,261.89,262.18,262.87,257.63
2020-07-10 04:00:00,32814798.0,262.0,263.97,264.23,259.26
2020-07-13 04:00:00,64108090.0,266.87,258.54,269.79,257.69
2020-07-14 04:00:00,72163012.0,256.07,260.37,260.79,252.76
2020-07-15 04:00:00,54223369.0,261.68,260.9,262.69,257.49
2020-07-16 04:00:00,47594111.0,257.97,259.12,259.78,255.62
2020-07-17 04:00:00,35137871.0,259.71,259.42,260.31,257.17
2020-07-20 04:00:00,40610128.0,260.12,266.78,267.43,258.79
