Date,Volume,Open,Close,High,Low
2020-05-06 04:00:00,13517738.0,158.99,158.95,159.81,158.1
2020-05-07 04:00:00,13796815.0,159.5,161.39,161.96,159.36
2020-05-08 04:00:00,12355022.0,161.08,160.42,162.0,160.0
2020-05-11 04:00:00,11313612.0,160.34,159.42,160.71,158.89
2020-05-12 04:00:00,10464096.0,160.3,160.04,160.95,159.72
2020-05-13 04:00:00,11140118.0,160.94,161.58,161.62,160.54
2020-05-14 04:00:00,17184628.0,161.53,163.01,163.34,161.51
2020-05-15 04:00:00,14046481.0,164.02,163.93,164.8,163.08
2020-05-18 04:00:00,14324811.0,164.33,162.69,164.495,162.4102
2020-05-19 04:00:00,8585894.0,163.6,164.26,164.43,163.04
2020-05-20 04:00:00,10797943.0,164.54,164.65,164.9599,163.89
2020-05-21 04:00:00,11844532.0,163.46,162.25,163.58,161.37
2020-05-22 04:00:00,8655029.0,162.88,163.21,163.47,162.74
2020-05-26 04:00:00,14169490.0,162.58,160.89,162.58,160.69
2020-05-27 04:00:00,13243175.0,159.42,161.18,161.34,159.2
2020-05-28 04:00:00,9865223.0,162.12,161.72,162.4598,160.9
2020-05-29 04:00:00,12639074.0,162.58,162.91,163.4,162.32
2020-06-01 04:00:00,8241365.0,162.9235,163.66,163.74,162.39
2020-06-02 04:00:00,10468575.0,163.89,162.6,164.08,161.86
2020-06-03 04:00:00,17067794.0,160.34,159.6,160.9,158.82
2020-06-04 04:00:00,10161914.0,161.14,161.28,161.87,159.84
2020-06-05 04:00:00,16965283.0,158.72,158.01,158.72,157.035
2020-06-08 04:00:00,9375230.0,158.9,159.72,159.8599,158.47
2020-06-09 04:00:00,8953076.0,161.1,161.26,161.775,160.87
2020-06-10 04:00:00,13070995.0,162.1,163.57,163.63,160.52
2020-06-11 04:00:00,11794772.0,163.35,162.39,164.06,161.9701
2020-06-12 04:00:00,6906350.0,163.41,162.62,163.88,162.56
2020-06-15 04:00:00,8461993.0,160.52,162.33,162.56,160.16
2020-06-16 04:00:00,8003873.0,161.85,162.25,162.685,161.36
2020-06-17 04:00:00,4801096.0,162.0,162.56,162.62,161.77
2020-06-18 04:00:00,5479772.0,162.1965,162.24,162.32,161.44
2020-06-19 04:00:00,12219207.0,162.87,164.03,164.09,162.78
2020-06-22 04:00:00,12457493.0,165.06,165.09,165.73,164.41
2020-06-23 04:00:00,12185023.0,165.63,166.48,166.52,165.52
2020-06-24 04:00:00,11052673.0,166.01,165.9,166.99,165.45
2020-06-25 04:00:00,7112175.0,165.89,165.8,165.91,165.16
2020-06-26 04:00:00,9859399.0,164.87,166.54,166.56,164.22
2020-06-29 04:00:00,6867287.0,166.56,166.63,166.8,166.18
2020-06-30 04:00:00,12844793.0,166.31,167.37,167.9906,166.185
2020-07-01 04:00:00,13269305.0,167.05,166.62,167.06,165.34
2020-07-02 04:00:00,8854978.0,166.2,166.98,167.24,166.02
2020-07-06 04:00:00,7455803.0,167.75,167.98,168.0,167.1901
2020-07-07 04:00:00,11719537.0,167.41,169.04,169.04,167.38
2020-07-08 04:00:00,11828925.0,170.32,170.09,170.8558,169.7827
2020-07-09 04:00:00,13271305.0,170.48,169.63,170.635,168.78
2020-07-10 04:00:00,8335784.0,169.95,169.19,170.15,168.57
2020-07-13 04:00:00,11175325.0,170.29,169.4,170.42,169.16
2020-07-14 04:00:00,9933024.0,168.97,170.19,170.2,168.8141
2020-07-15 04:00:00,7627071.0,169.62,170.34,170.43,169.39
2020-07-16 04:00:00,10339693.0,169.8,168.73,169.995,168.65
2020-07-17 04:00:00,10388635.0,169.94,170.12,170.27,169.605
2020-07-20 04:00:00,10241399.0,170.76,170.94,171.07,170.27
2020-07-21 04:00:00,13017464.0,172.53,173.0,173.25,172.31
2020-07-22 04:00:00,18153060.0,174.05,175.63,175.77,173.76
2020-07-23 04:00:00,23258243.0,176.17,177.18,178.41,175.65
2020-07-24 04:00:00,15821215.0,179.14,178.7,179.16,178.2
2020-07-27 04:00:00,21322635.0,181.85,182.23,182.83,181.53
2020-07-28 04:00:00,21373060.0,182.02,183.75,184.26,181.42
2020-07-29 04:00:00,25833929.0,184.0089,185.13,186.14,182.39
2020-07-30 04:00:00,18198985.0,183.44,183.76,184.33,182.13
2020-07-31 04:00:00,16003348.0,184.51,185.43,185.7501,184.165
2020-08-03 04:00:00,13167433.0,185.05,185.64,185.82,184.2
2020-08-04 04:00:00,20925579.0,185.61,189.59,189.6,185.21
2020-08-05 04:00:00,27498598.0,191.65,191.35,193.13,190.62
2020-08-06 04:00:00,20898007.0,193.74,193.89,194.4499,192.5207
2020-08-07 04:00:00,24880013.0,192.705,190.81,192.96,189.33
