Date,Volume,Open,Close,High,Low
2020-05-06 04:00:00,2008476.0,170.58,172.92,176.15,168.54
2020-05-07 04:00:00,2260287.0,174.98,179.78,180.6441,174.405
2020-05-08 04:00:00,1824168.0,179.92,176.19,182.5965,175.05
2020-05-11 04:00:00,1266932.0,176.29,176.6,180.46,174.0
2020-05-12 04:00:00,1554119.0,177.8,176.0,181.18,172.092
2020-05-13 04:00:00,1535775.0,176.15,175.76,178.38,170.73
2020-05-14 04:00:00,1410975.0,173.3,179.79,180.4399,172.15
2020-05-15 04:00:00,3521057.0,180.0,186.5,190.2099,179.12
2020-05-18 04:00:00,1579954.0,187.77,182.16,189.5,180.21
2020-05-19 04:00:00,1351154.0,183.16,181.28,186.27,180.6
2020-05-20 04:00:00,859156.0,182.33,183.84,185.79,181.5
2020-05-21 04:00:00,1828480.0,182.05,180.25,185.28,179.55
2020-05-22 04:00:00,1486003.0,181.29,182.6,185.45,179.2001
2020-05-26 04:00:00,2240334.0,182.62,173.06,184.62,172.19
2020-05-27 04:00:00,3891537.0,170.05,175.31,175.72,160.2
2020-05-28 04:00:00,2046579.0,174.08,178.32,180.46,174.08
2020-05-29 04:00:00,1862525.0,179.59,185.3,186.12,178.94
2020-06-01 04:00:00,2003669.0,184.02,188.32,191.72,183.7225
2020-06-02 04:00:00,1424169.0,189.01,183.67,189.99,180.62
2020-06-03 04:00:00,3519955.0,182.91,183.46,184.19,178.44
2020-06-04 04:00:00,2656127.0,181.48,172.1,182.69,170.18
2020-06-05 04:00:00,2210307.0,168.005,174.26,174.535,163.72
2020-06-08 04:00:00,1480783.0,173.57,175.2,176.05,170.7
2020-06-09 04:00:00,904627.0,176.05,173.54,178.56,173.12
2020-06-10 04:00:00,1596276.0,175.45,180.03,180.53,174.745
2020-06-11 04:00:00,1432936.0,177.85,173.5,178.69,170.21
2020-06-12 04:00:00,1562760.0,177.13,171.62,179.53,169.57
2020-06-15 04:00:00,2389837.0,170.91,170.73,173.04,168.97
2020-06-16 04:00:00,2512038.0,173.34,172.51,173.44,167.19
2020-06-17 04:00:00,1753510.0,173.76,176.71,178.38,173.06
2020-06-18 04:00:00,1428779.0,177.48,177.63,179.83,176.325
2020-06-19 04:00:00,1428524.0,180.23,172.64,180.8142,172.55
2020-06-22 04:00:00,2810495.0,174.53,184.56,184.92,174.04
2020-06-23 04:00:00,1761992.0,186.11,182.33,187.71,181.04
2020-06-24 04:00:00,1297597.0,182.0,176.82,184.49,174.39
2020-06-25 04:00:00,1448046.0,177.1,180.36,181.33,173.8
2020-06-26 04:00:00,2898913.0,181.01,181.01,182.77,177.2627
2020-06-29 04:00:00,1071837.0,180.02,175.13,180.8,172.27
2020-06-30 04:00:00,1312501.0,176.04,180.27,180.79,175.09
2020-07-01 04:00:00,1221743.0,180.99,185.61,186.62,178.61
2020-07-02 04:00:00,2275487.0,186.51,190.08,191.3229,185.02
2020-07-06 04:00:00,1756469.0,193.0,190.47,196.3499,189.805
2020-07-07 04:00:00,1116558.0,191.0,190.44,194.16,189.05
2020-07-08 04:00:00,1570972.0,192.49,195.88,197.06,191.1901
2020-07-09 04:00:00,1970951.0,198.41,195.63,198.41,191.93
2020-07-10 04:00:00,1008891.0,195.63,192.0,196.0,190.36
2020-07-13 04:00:00,2505676.0,194.06,179.55,194.5,179.23
2020-07-14 04:00:00,4050007.0,179.69,174.15,180.95,169.11
2020-07-15 04:00:00,1859882.0,175.08,175.32,176.65,171.22
2020-07-16 04:00:00,1942214.0,173.82,171.24,175.0,170.05
2020-07-17 04:00:00,910173.0,172.0,172.86,173.49,169.54
2020-07-20 04:00:00,2792145.0,174.9,190.32,191.55,174.3
2020-07-21 04:00:00,2387692.0,190.79,192.49,195.31,187.0868
2020-07-22 04:00:00,799213.0,193.31,191.3,195.29,188.82
2020-07-23 04:00:00,2219738.0,190.76,188.64,196.33,187.11
2020-07-24 04:00:00,1408780.0,184.67,184.34,187.63,181.22
2020-07-27 04:00:00,2245932.0,185.8,184.51,187.34,180.63
2020-07-28 04:00:00,1138111.0,184.5,183.36,187.7968,182.71
2020-07-29 04:00:00,897328.0,185.64,187.11,189.5,184.86
2020-07-30 04:00:00,1940146.0,185.5,187.66,190.69,183.64
2020-07-31 04:00:00,6941018.0,176.95,176.65,177.8275,170.14
2020-08-03 04:00:00,2920496.0,176.345,177.95,178.87,172.33
2020-08-04 04:00:00,2063343.0,178.5,177.47,180.9,176.55
2020-08-05 04:00:00,2061969.0,177.17,180.5,180.51,175.59
2020-08-06 04:00:00,1915281.0,181.37,177.97,181.46,175.02
2020-08-07 04:00:00,2243845.0,177.54,170.93,178.41,169.36
2020-08-10 04:00:00,1947018.0,170.8,165.95,171.5,164.06
2020-08-11 04:00:00,2399892.0,165.0,160.75,166.08,160.06
2020-08-12 04:00:00,1689041.0,161.86,161.06,165.77,160.0134
2020-08-13 04:00:00,1401453.0,163.0,164.36,167.31,162.46
